"Vector","Title","Frequency","Description","Reference Period","Unit of Measure","Value","Source"
"V41690973","Consumer Price Index, monthly, not seasonally adjusted","Monthly","Canada;All-items","January 1920","2002=100","10.6","<a href=""https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1810000401"">18-10-0004-01</a>"
"V41690973","Consumer Price Index, monthly, not seasonally adjusted","Monthly","Canada;All-items","February 1920","2002=100","10.8","<a href=""https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1810000401"">18-10-0004-01</a>"
"V41690973","Consumer Price Index, monthly, not seasonally adjusted","Monthly","Canada;All-items","March 1920","2002=100","11.2","<a href=""https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1810000401"">18-10-0004-01</a>"
"V41690973","Consumer Price Index, monthly, not seasonally adjusted","Monthly","Canada;All-items","April 1920","2002=100","11.3","<a href=""https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1810000401"">18-10-0004-01</a>"
"V41690973","Consumer Price Index, monthly, not seasonally adjusted","Monthly","Canada;All-items","May 1920","2002=100","11.6","<a href=""https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1810000401"">18-10-0004-01</a>"
"V41690973","Consumer Price Index, monthly, not seasonally adjusted","Monthly","Canada;All-items","June 1920","2002=100","11.8","<a href=""https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1810000401"">18-10-0004-01</a>"
"V41690973","Consumer Price Index, monthly, not seasonally adjusted","Monthly","Canada;All-items","July 1920","2002=100","11.8","<a href=""https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1810000401"">18-10-0004-01</a>"
"V41690973","Consumer Price Index, monthly, not seasonally adjusted","Monthly","Canada;All-items","August 1920","2002=100","11.7","<a href=""https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1810000401"">18-10-0004-01</a>"
"V41690973","Consumer Price Index, monthly, not seasonally adjusted","Monthly","Canada;All-items","September 1920","2002=100","11.5","<a href=""https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1810000401"">18-10-0004-01</a>"
"V41690973","Consumer Price Index, monthly, not seasonally adjusted","Monthly","Canada;All-items","October 1920","2002=100","11.5","<a href=""https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1810000401"">18-10-0004-01</a>"
"V41690973","Consumer Price Index, monthly, not seasonally adjusted","Monthly","Canada;All-items","November 1920","2002=100","11.3","<a href=""https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1810000401"">18-10-0004-01</a>"
"V41690973","Consumer Price Index, monthly, not seasonally adjusted","Monthly","Canada;All-items","December 1920","2002=100","11.2","<a href=""https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1810000401"">18-10-0004-01</a>"
"V41690973","Consumer Price Index, monthly, not seasonally adjusted","Monthly","Canada;All-items","January 1921","2002=100","11.0","<a href=""https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1810000401"">18-10-0004-01</a>"
"V41690973","Consumer Price Index, monthly, not seasonally adjusted","Monthly","Canada;All-items","February 1921","2002=100","10.8","<a href=""https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1810000401"">18-10-0004-01</a>"
"V41690973","Consumer Price Index, monthly, not seasonally adjusted","Monthly","Canada;All-items","March 1921","2002=100","10.5","<a href=""https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1810000401"">18-10-0004-01</a>"
"V41690973","Consumer Price Index, monthly, not seasonally adjusted","Monthly","Canada;All-items","April 1921","2002=100","10.2","<a href=""https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1810000401"">18-10-0004-01</a>"
"V41690973","Consumer Price Index, monthly, not seasonally adjusted","Monthly","Canada;All-items","May 1921","2002=100","10.0","<a href=""https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1810000401"">18-10-0004-01</a>"
